,01 AUG 2017,02 AUG 2017,03 AUG 2017,04 AUG 2017,05 AUG 2017,06 AUG 2017,07 AUG 2017,08 AUG 2017,09 AUG 2017,10 AUG 2017,11 AUG 2017,12 AUG 2017,13 AUG 2017,14 AUG 2017,15 AUG 2017,16 AUG 2017,17 AUG 2017,18 AUG 2017,19 AUG 2017,20 AUG 2017,21 AUG 2017,22 AUG 2017,23 AUG 2017,24 AUG 2017,25 AUG 2017,26 AUG 2017,27 AUG 2017,28 AUG 2017,29 AUG 2017,30 AUG 2017,31 AUG 2017
Domestik MMS MO Eksternal,209000,271500,229000,190000,162250,149500,208250,135250,201250,218000,214000,246500,145750,225500,147500,231000,198500,171500,206750,196000,181250,186500,266750,221000,117250,177250,176750,230384,187500,159250,171250
Domestik MMS MO Internal,1951628,1880977,1812750,1804750,1897500,1754500,2003750,1855500,1916250,1744750,1823500,1779000,1482250,1707250,1684000,1571500,1446750,1636750,1598000,1629750,1799000,1815900,1763000,1699750,1533500,1624000,1497000,1752000,1925226,1658750,1784750
International MMS MO,52000,30000,46000,46000,86000,28000,22000,22000,28000,38000,22000,50000,48000,32000,52000,30000,78000,46000,86000,54000,76000,46000,42000,60000,44000,46000,54000,62000,64000,90000,50000
OTT Services,10146553.93,17715178.35,10440614.75,14302001.06,11623754.38,12411476.77,10237971.75,10277075.12,8541980.48,9880322.6,10941484.35,11990870.88,10814310.55,8305642.25,12021702.23,13947487.99,12628662.85,10672391.58,11596924.69,9206284.98,12530025.43,10025330.47,12024952.48,12637630.7,12849801.23,8776426.09,11684996.75,9986393.17,24575256.13,11078170.42,13911978.68
VAS Content,10888945,10909135,10863660,10720710,11093180,10153365,10831245,11286335,10571440,10708694,10520205,10769115,10352495,10759770,10572095,10735840,10365070,10661410,11289707,10348380,11013366,11003545,11118671,10333020,11014790,11033005,10491755,10994716,11170450,11440771,11663025
Content RBT,9104050,9715360,9487670,9708780,9387950,8861870,9272830,9270088,9320250,9567420,9709930,9101190,9283510,9415340,9773270,9493270,10004448,9396808,12634050,10168010,10179130,10931020,10523970,10211580,10240680,10661810,9639742,10397106,10764120,10643930,10980470
SMS Banking,17815530,13536190,12650300,12729460,10665480,8184080,13085510,12012980,11623650,11889350,11903840,9470940,7567490,12085520,11634970,11460000,8262840,11844700,9161890,7438500,12145500,11187360,10952710,10941210,13291040,9899290,7559330,13079360,11899290,12680710,14666110
SMS Content,4546170,3548255,3918530,4558080,3586086,3117390,5259078,4533820,3959536,5743109,4871272,25481855,29429745,4474250,6156624,29863770,41212923,7100290,13073145,4310347,32754530,6803400,4891250,60441800,6131230,77692560,103227202,23161145,4335065,3727065,2891400
SMS Group,38533,35552,27643,25493,43285,79877,35305,148203,46195,35162,69245,35970,42093,55968,36603,43461,49060,29590,39413,95458,44149,38104,45551,45837,32165,53103,73151,46299,38918,33083,28545
SMS Pro,777825,806325,753850,732150,693200,644025,790450,731475,757800,672925,615175,664075,540350,683800,631200,734850,701875,693850,720600,592200,751425,739375,800825,741925,698300,678500,605175,737875,767650,769050,698125
AS(Transfer Pulsa),1734000,1837500,1674000,1800000,1831500,1698000,1750500,1773000,1735500,1653000,1707000,1747500,1875000,1881000,1723500,1672500,1647000,1677000,1699500,1597500,1683000,1750500,1669500,1686000,1771500,1647000,1557000,1770000,1675500,1780500,1767000
Simpati(Transfer Pulsa),4002000,4495500,3898500,3813000,3957000,3990000,3841500,3894000,3802500,4164000,4006500,4272000,3862500,4000500,3876000,3948000,3831000,3811500,3793500,3622500,3804000,3835500,3799500,3763500,3925500,3591000,4074000,3852000,3757500,3889500,4039500
USSD Charging,239535,240025,242955,255840,245975,231905,248160,252140,250430,245220,240580,241310,230915,240640,232460,241630,219130,230465,218055,213660,231815,222420,243015,245835,242040,234465,215130,228780,223125,228435,233265
3G Mobile TV,458700,234600,171200,337500,185000,160000,380000,341200,331000,65000,62500,311000,212500,90000,165000,153700,160000,56200,247400,161200,120000,57500,82500,147500,90000,65000,122400,78500,31200,132400,68700
IVR Banking,270900,373950,176400,219600,242550,98550,256950,316800,223650,235800,274950,247050,200700,204750,276750,214650,79650,353250,223200,188100,314550,252000,383850,134100,250650,285750,193050,261900,351000,198450,228150
IVR Content MDS,166600,194900,168600,206850,179350,202450,193350,120050,196700,157250,189900,205650,150550,229950,218150,97250,206800,208750,161950,119000,290350,153650,170250,187700,168050,183250,133100,234900,147400,185900,168350
IVR Internal,28875,31675,30275,29225,30450,34475,12250,27650,33250,36050,28875,12775,5425,23275,33250,28700,34650,24675,33075,37800,29750,41300,28700,26075,1050,700,350,175,350,15750,34650
IVR RBT,52850,55300,66500,70700,59675,47950,58100,51450,62825,62475,60725,68250,44625,53725,62475,65275,53900,55300,66850,55300,55475,55300,71400,64050,68075,53375,68950,57750,63000,61775,55300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
